event,date,producto_relacionado
Christmas Day,2025-12-25,Pepino
Christmas Day,2025-12-25,Tomate verde (tomatillo)
Christmas Day,2025-12-25,Zanahoria
Day of the Holy Innocents,2025-12-28,Aguacate Hass
Day of the Holy Innocents,2025-12-28,Guayaba
Day of the Holy Innocents,2025-12-28,Lima
Day of the Holy Innocents,2025-12-28,Refresco limón 600 ml
Day of the Holy Innocents,2025-12-28,Mandarina
Day of the Holy Innocents,2025-12-28,Jugo de naranja 1 L
Day of the Holy Innocents,2025-12-28,Papaya
Day of the Holy Innocents,2025-12-28,Piña
Day of the Holy Innocents,2025-12-28,Plátano
Day of the Holy Innocents,2025-12-28,Tejocote
Day of the Holy Innocents,2025-12-28,Toronja (pomelo)
Day of the Holy Innocents,2025-12-28,Uva
Day of the Holy Innocents,2025-12-28,Zapote negro
Day of the Holy Innocents,2025-12-28,Acelga
Day of the Holy Innocents,2025-12-28,Ajo
Day of the Holy Innocents,2025-12-28,Betabel
Day of the Holy Innocents,2025-12-28,Calabacita
Day of the Holy Innocents,2025-12-28,Cebolla
Day of the Holy Innocents,2025-12-28,Col (repollo)
Day of the Holy Innocents,2025-12-28,Coliflor
Day of the Holy Innocents,2025-12-28,Espinaca
Day of the Holy Innocents,2025-12-28,Jitomate (tomate rojo)
Day of the Holy Innocents,2025-12-28,Lechuga
Day of the Holy Innocents,2025-12-28,Papas fritas clásicas 170 g
Day of the Holy Innocents,2025-12-28,Pepino
Day of the Holy Innocents,2025-12-28,Tomate verde (tomatillo)
Day of the Holy Innocents,2025-12-28,Zanahoria
New Year's Eve,2025-12-31,Aguacate Hass
New Year's Eve,2025-12-31,Guayaba
New Year's Eve,2025-12-31,Lima
New Year's Eve,2025-12-31,Refresco limón 600 ml
New Year's Eve,2025-12-31,Mandarina
New Year's Eve,2025-12-31,Jugo de naranja 1 L
New Year's Eve,2025-12-31,Papaya
New Year's Eve,2025-12-31,Piña
New Year's Eve,2025-12-31,Plátano
New Year's Eve,2025-12-31,Tejocote
New Year's Eve,2025-12-31,Toronja (pomelo)
New Year's Eve,2025-12-31,Uva
New Year's Eve,2025-12-31,Zapote negro
New Year's Eve,2025-12-31,Acelga
New Year's Eve,2025-12-31,Ajo
New Year's Eve,2025-12-31,Betabel
New Year's Eve,2025-12-31,Calabacita
New Year's Eve,2025-12-31,Cebolla
New Year's Eve,2025-12-31,Col (repollo)
New Year's Eve,2025-12-31,Coliflor
New Year's Eve,2025-12-31,Espinaca
New Year's Eve,2025-12-31,Jitomate (tomate rojo)
New Year's Eve,2025-12-31,Lechuga
New Year's Eve,2025-12-31,Papas fritas clásicas 170 g
New Year's Eve,2025-12-31,Pepino
New Year's Eve,2025-12-31,Tomate verde (tomatillo)
New Year's Eve,2025-12-31,Zanahoria
Day of the Holy Kings,2025-01-06,Vasos desechables unicel 500 ml 20 pzas
Day of the Holy Kings,2025-01-06,Vasos desechables plástico 500 ml 20 pzas
Day of the Holy Kings,2025-01-06,Vaso unicel térmico 1 L (Litro) 10 pzas
Day of the Holy Kings,2025-01-06,Plato térmico unicel No. 8 25 pzas
Day of the Holy Kings,2025-01-06,Plato unicel pastelero No. 6 20 pzas
Day of the Holy Kings,2025-01-06,Plato unicel plano grande No. 9 25 pzas
Day of the Holy Kings,2025-01-06,Plato unicel hondo pozolero 20 pzas
Day of the Holy Kings,2025-01-06,Plato unicel con divisiones 15 pzas
Day of the Holy Kings,2025-01-06,Refresco Coca-Cola 2.5 L
Day of the Holy Kings,2025-01-06,Agua purificada 1.5 L
Day of the Holy Kings,2025-01-06,Agua mineral 600 ml
Day of the Holy Kings,2025-01-06,Leche Evaporada Carnation 360 g
Day of the Holy Kings,2025-01-06,Leche Condensada La Lechera 387 g
Children's Day,2025-04-30,Refresco Coca-Cola 2.5 L
Children's Day,2025-04-30,Agua purificada 1.5 L
Children's Day,2025-04-30,Agua mineral 600 ml
Mothers' Day,2025-05-10,Refresco Coca-Cola 2.5 L
Mothers' Day,2025-05-10,Agua purificada 1.5 L
Mothers' Day,2025-05-10,Agua mineral 600 ml
Fathers' Day,2025-06-15,Cerveza Corona Extra 355 ml
Fathers' Day,2025-06-15,Whisky Black & White 700 ml
Fathers' Day,2025-06-15,Ron Bacardí Blanco 750 ml
Fathers' Day,2025-06-15,Vodka Smirnoff 750 ml
Fathers' Day,2025-06-15,Brandy Presidente 940 ml
Fathers' Day,2025-06-15,Refresco Coca-Cola 2.5 L
Independence Day,2025-09-16,Plato térmico unicel No. 8 25 pzas
Independence Day,2025-09-16,Plato unicel pastelero No. 6 20 pzas
Independence Day,2025-09-16,Plato unicel plano grande No. 9 25 pzas
Independence Day,2025-09-16,Plato unicel hondo pozolero 20 pzas
Independence Day,2025-09-16,Plato unicel con divisiones 15 pzas
Independence Day,2025-09-16,Vasos desechables unicel 500 ml 20 pzas
Independence Day,2025-09-16,Vasos desechables plástico 500 ml 20 pzas
Independence Day,2025-09-16,Vaso unicel térmico 1 L (Litro) 10 pzas
Independence Day,2025-09-16,Tenedores de plástico blanco 50 pzas
Independence Day,2025-09-16,Cucharas de plástico pastelero 50 pzas
Independence Day,2025-09-16,Cerveza Corona Extra 355 ml
Independence Day,2025-09-16,Refresco Coca-Cola 2.5 L
Christmas Eve,2025-12-24,Vasos desechables unicel 500 ml 20 pzas
Christmas Eve,2025-12-24,Vasos desechables plástico 500 ml 20 pzas
Christmas Eve,2025-12-24,Vaso unicel térmico 1 L (Litro) 10 pzas
Christmas Eve,2025-12-24,Plato térmico unicel No. 8 25 pzas
Christmas Eve,2025-12-24,Plato unicel pastelero No. 6 20 pzas
Christmas Eve,2025-12-24,Plato unicel plano grande No. 9 25 pzas
Christmas Eve,2025-12-24,Plato unicel hondo pozolero 20 pzas
Christmas Eve,2025-12-24,Plato unicel con divisiones 15 pzas
Christmas Eve,2025-12-24,Tenedores de plástico blanco 50 pzas
Christmas Eve,2025-12-24,Cucharas de plástico pastelero 50 pzas
Christmas Eve,2025-12-24,Charola unicel para carne 50 pzas
Christmas Eve,2025-12-24,Contenedor térmico unicel con tapa (Hamburguesero) 50 pzas
Christmas Eve,2025-12-24,Tapa para vaso unicel 1 L 50 pzas
Christmas Eve,2025-12-24,Cerveza Corona Extra 355 ml
Christmas Eve,2025-12-24,Whisky Black & White 700 ml
Christmas Eve,2025-12-24,Ron Bacardí Blanco 750 ml
Christmas Eve,2025-12-24,Vodka Smirnoff 750 ml
Christmas Eve,2025-12-24,Brandy Presidente 940 ml
Christmas Eve,2025-12-24,Refresco Coca-Cola 2.5 L
Christmas Eve,2025-12-24,Agua purificada 1.5 L
Christmas Eve,2025-12-24,Agua mineral 600 ml
Christmas Day,2025-12-25,Vasos desechables unicel 500 ml 20 pzas
Christmas Day,2025-12-25,Vasos desechables plástico 500 ml 20 pzas
Christmas Day,2025-12-25,Vaso unicel térmico 1 L (Litro) 10 pzas
Christmas Day,2025-12-25,Plato térmico unicel No. 8 25 pzas
Christmas Day,2025-12-25,Plato unicel pastelero No. 6 20 pzas
Christmas Day,2025-12-25,Plato unicel plano grande No. 9 25 pzas
Christmas Day,2025-12-25,Plato unicel hondo pozolero 20 pzas
Christmas Day,2025-12-25,Plato unicel con divisiones 15 pzas
Christmas Day,2025-12-25,Tenedores de plástico blanco 50 pzas
Christmas Day,2025-12-25,Cucharas de plástico pastelero 50 pzas
Christmas Day,2025-12-25,Charola unicel para carne 50 pzas
Christmas Day,2025-12-25,Contenedor térmico unicel con tapa (Hamburguesero) 50 pzas
Christmas Day,2025-12-25,Tapa para vaso unicel 1 L 50 pzas
Christmas Day,2025-12-25,Cerveza Corona Extra 355 ml
Christmas Day,2025-12-25,Whisky Black & White 700 ml
Christmas Day,2025-12-25,Ron Bacardí Blanco 750 ml
Christmas Day,2025-12-25,Vodka Smirnoff 750 ml
Christmas Day,2025-12-25,Brandy Presidente 940 ml
Christmas Day,2025-12-25,Refresco Coca-Cola 2.5 L
Christmas Day,2025-12-25,Agua purificada 1.5 L
Christmas Day,2025-12-25,Agua mineral 600 ml
New Year's Eve,2025-12-31,Vasos desechables unicel 500 ml 20 pzas
New Year's Eve,2025-12-31,Vasos desechables plástico 500 ml 20 pzas
New Year's Eve,2025-12-31,Vaso unicel térmico 1 L (Litro) 10 pzas
New Year's Eve,2025-12-31,Plato térmico unicel No. 8 25 pzas
New Year's Eve,2025-12-31,Plato unicel pastelero No. 6 20 pzas
New Year's Eve,2025-12-31,Plato unicel plano grande No. 9 25 pzas
New Year's Eve,2025-12-31,Plato unicel hondo pozolero 20 pzas
New Year's Eve,2025-12-31,Plato unicel con divisiones 15 pzas
New Year's Eve,2025-12-31,Tenedores de plástico blanco 50 pzas
New Year's Eve,2025-12-31,Cucharas de plástico pastelero 50 pzas
New Year's Eve,2025-12-31,Cerveza Corona Extra 355 ml
New Year's Eve,2025-12-31,Whisky Black & White 700 ml
New Year's Eve,2025-12-31,Ron Bacardí Blanco 750 ml
New Year's Eve,2025-12-31,Vodka Smirnoff 750 ml
New Year's Eve,2025-12-31,Brandy Presidente 940 ml
New Year's Eve,2025-12-31,Refresco Coca-Cola 2.5 L
New Year's Eve,2025-12-31,Agua purificada 1.5 L
New Year's Eve,2025-12-31,Agua mineral 600 ml
