fecha,product_name,category_off,perecedero,ventas,precio,en_promocion,en_temporada,temp_inicio_mes,temp_fin_mes
2023-01-11,Néctar de durazno 1 L,juice-box,0,8,33.88,0,0,7.0,9.0
2023-01-12,Néctar de durazno 1 L,juice-box,0,9,24.02,1,0,7.0,9.0
2023-01-13,Néctar de durazno 1 L,juice-box,0,11,32.39,0,0,7.0,9.0
2023-01-14,Néctar de durazno 1 L,juice-box,0,8,33.27,0,0,7.0,9.0
2023-01-15,Néctar de durazno 1 L,juice-box,0,8,31.92,0,0,7.0,9.0
2023-01-16,Néctar de durazno 1 L,juice-box,0,7,33.93,0,0,7.0,9.0
2023-01-17,Néctar de durazno 1 L,juice-box,0,4,32.01,0,0,7.0,9.0
2023-01-18,Néctar de durazno 1 L,juice-box,0,8,30.95,0,0,7.0,9.0
2023-01-19,Néctar de durazno 1 L,juice-box,0,5,32.83,0,0,7.0,9.0
2023-01-20,Néctar de durazno 1 L,juice-box,0,11,34.95,0,0,7.0,9.0
2023-01-21,Néctar de durazno 1 L,juice-box,0,8,30.11,0,0,7.0,9.0
2023-01-22,Néctar de durazno 1 L,juice-box,0,6,31.38,0,0,7.0,9.0
2023-01-23,Néctar de durazno 1 L,juice-box,0,7,34.13,0,0,7.0,9.0
2023-01-24,Néctar de durazno 1 L,juice-box,0,7,29.76,0,0,7.0,9.0
2023-01-25,Néctar de durazno 1 L,juice-box,0,3,31.77,0,0,7.0,9.0
2023-01-26,Néctar de durazno 1 L,juice-box,0,9,33.12,0,0,7.0,9.0
2023-01-27,Néctar de durazno 1 L,juice-box,0,9,34.04,0,0,7.0,9.0
2023-01-28,Néctar de durazno 1 L,juice-box,0,10,33.01,0,0,7.0,9.0
2023-01-29,Néctar de durazno 1 L,juice-box,0,6,30.31,0,0,7.0,9.0
2023-01-30,Néctar de durazno 1 L,juice-box,0,3,32.45,0,0,7.0,9.0
2023-01-31,Néctar de durazno 1 L,juice-box,0,12,25.87,1,0,7.0,9.0
2023-02-01,Néctar de durazno 1 L,juice-box,0,9,31.09,0,0,7.0,9.0
2023-02-02,Néctar de durazno 1 L,juice-box,0,10,32.65,0,0,7.0,9.0
2023-02-03,Néctar de durazno 1 L,juice-box,0,4,30.23,0,0,7.0,9.0
2023-02-04,Néctar de durazno 1 L,juice-box,0,7,34.05,0,0,7.0,9.0
2023-02-05,Néctar de durazno 1 L,juice-box,0,8,29.48,0,0,7.0,9.0
2023-02-06,Néctar de durazno 1 L,juice-box,0,8,32.73,0,0,7.0,9.0
2023-02-07,Néctar de durazno 1 L,juice-box,0,3,32.77,0,0,7.0,9.0
2023-02-08,Néctar de durazno 1 L,juice-box,0,9,32.07,0,0,7.0,9.0
2023-02-09,Néctar de durazno 1 L,juice-box,0,3,31.95,0,0,7.0,9.0
2023-02-10,Néctar de durazno 1 L,juice-box,0,5,28.59,0,0,7.0,9.0
2023-02-11,Néctar de durazno 1 L,juice-box,0,10,28.75,0,0,7.0,9.0
2023-02-12,Néctar de durazno 1 L,juice-box,0,4,33.59,0,0,7.0,9.0
2023-02-13,Néctar de durazno 1 L,juice-box,0,8,30.05,0,0,7.0,9.0
2023-02-14,Néctar de durazno 1 L,juice-box,0,6,31.36,0,0,7.0,9.0
2023-02-15,Néctar de durazno 1 L,juice-box,0,7,32.61,0,0,7.0,9.0
2023-02-16,Néctar de durazno 1 L,juice-box,0,3,29.75,0,0,7.0,9.0
2023-02-17,Néctar de durazno 1 L,juice-box,0,7,35.08,0,0,7.0,9.0
2023-02-18,Néctar de durazno 1 L,juice-box,0,6,30.9,0,0,7.0,9.0
2023-02-19,Néctar de durazno 1 L,juice-box,0,5,31.65,0,0,7.0,9.0
2023-02-20,Néctar de durazno 1 L,juice-box,0,2,28.35,0,0,7.0,9.0
2023-02-21,Néctar de durazno 1 L,juice-box,0,6,33.11,0,0,7.0,9.0
2023-02-22,Néctar de durazno 1 L,juice-box,0,8,30.68,0,0,7.0,9.0
2023-02-23,Néctar de durazno 1 L,juice-box,0,5,31.1,0,0,7.0,9.0
2023-02-24,Néctar de durazno 1 L,juice-box,0,11,31.88,0,0,7.0,9.0
2023-02-25,Néctar de durazno 1 L,juice-box,0,11,34.26,0,0,7.0,9.0
2023-02-26,Néctar de durazno 1 L,juice-box,0,3,34.53,0,0,7.0,9.0
2023-02-27,Néctar de durazno 1 L,juice-box,0,3,24.64,1,0,7.0,9.0
2023-02-28,Néctar de durazno 1 L,juice-box,0,6,32.36,0,0,7.0,9.0
2023-03-01,Néctar de durazno 1 L,juice-box,0,8,31.54,0,0,7.0,9.0
2023-03-02,Néctar de durazno 1 L,juice-box,0,11,25.49,1,0,7.0,9.0
2023-03-03,Néctar de durazno 1 L,juice-box,0,7,29.41,0,0,7.0,9.0
2023-03-04,Néctar de durazno 1 L,juice-box,0,10,30.67,0,0,7.0,9.0
2023-03-05,Néctar de durazno 1 L,juice-box,0,8,32.84,0,0,7.0,9.0
2023-03-06,Néctar de durazno 1 L,juice-box,0,3,31.34,0,0,7.0,9.0
2023-03-07,Néctar de durazno 1 L,juice-box,0,5,31.34,0,0,7.0,9.0
2023-03-08,Néctar de durazno 1 L,juice-box,0,11,32.41,0,0,7.0,9.0
2023-03-09,Néctar de durazno 1 L,juice-box,0,6,30.21,0,0,7.0,9.0
2023-03-10,Néctar de durazno 1 L,juice-box,0,7,31.65,0,0,7.0,9.0
2023-03-11,Néctar de durazno 1 L,juice-box,0,5,33.05,0,0,7.0,9.0
2023-03-12,Néctar de durazno 1 L,juice-box,0,10,33.5,0,0,7.0,9.0
2023-03-13,Néctar de durazno 1 L,juice-box,0,6,33.42,0,0,7.0,9.0
2023-03-14,Néctar de durazno 1 L,juice-box,0,4,32.32,0,0,7.0,9.0
2023-03-15,Néctar de durazno 1 L,juice-box,0,7,31.71,0,0,7.0,9.0
2023-03-16,Néctar de durazno 1 L,juice-box,0,11,34.8,0,0,7.0,9.0
2023-03-17,Néctar de durazno 1 L,juice-box,0,11,31.92,0,0,7.0,9.0
2023-03-18,Néctar de durazno 1 L,juice-box,0,11,33.35,0,0,7.0,9.0
2023-03-19,Néctar de durazno 1 L,juice-box,0,6,30.18,0,0,7.0,9.0
2023-03-20,Néctar de durazno 1 L,juice-box,0,6,31.61,0,0,7.0,9.0
2023-03-21,Néctar de durazno 1 L,juice-box,0,4,32.82,0,0,7.0,9.0
2023-03-22,Néctar de durazno 1 L,juice-box,0,13,31.67,0,0,7.0,9.0
2023-03-23,Néctar de durazno 1 L,juice-box,0,10,31.53,0,0,7.0,9.0
2023-03-24,Néctar de durazno 1 L,juice-box,0,8,30.79,0,0,7.0,9.0
2023-03-25,Néctar de durazno 1 L,juice-box,0,11,30.93,0,0,7.0,9.0
2023-03-26,Néctar de durazno 1 L,juice-box,0,9,33.59,0,0,7.0,9.0
2023-03-27,Néctar de durazno 1 L,juice-box,0,2,32.82,0,0,7.0,9.0
2023-03-28,Néctar de durazno 1 L,juice-box,0,5,29.73,0,0,7.0,9.0
2023-03-29,Néctar de durazno 1 L,juice-box,0,9,33.96,0,0,7.0,9.0
2023-03-30,Néctar de durazno 1 L,juice-box,0,8,32.07,0,0,7.0,9.0
2023-03-31,Néctar de durazno 1 L,juice-box,0,5,32.02,0,0,7.0,9.0
2023-04-01,Néctar de durazno 1 L,juice-box,0,11,33.67,0,0,7.0,9.0
2023-04-02,Néctar de durazno 1 L,juice-box,0,15,31.92,0,0,7.0,9.0
2023-04-03,Néctar de durazno 1 L,juice-box,0,11,31.75,0,0,7.0,9.0
2023-04-04,Néctar de durazno 1 L,juice-box,0,17,32.3,0,0,7.0,9.0
2023-04-05,Néctar de durazno 1 L,juice-box,0,11,29.55,0,0,7.0,9.0
2023-04-06,Néctar de durazno 1 L,juice-box,0,11,30.92,0,0,7.0,9.0
2023-04-07,Néctar de durazno 1 L,juice-box,0,17,31.72,0,0,7.0,9.0
2023-04-08,Néctar de durazno 1 L,juice-box,0,12,31.09,0,0,7.0,9.0
2023-04-09,Néctar de durazno 1 L,juice-box,0,14,35.74,0,0,7.0,9.0
2023-04-10,Néctar de durazno 1 L,juice-box,0,9,31.68,0,0,7.0,9.0
2023-04-11,Néctar de durazno 1 L,juice-box,0,9,29.71,0,0,7.0,9.0
2023-04-12,Néctar de durazno 1 L,juice-box,0,13,31.64,0,0,7.0,9.0
2023-04-13,Néctar de durazno 1 L,juice-box,0,8,34.3,0,0,7.0,9.0
2023-04-14,Néctar de durazno 1 L,juice-box,0,11,30.71,0,0,7.0,9.0
2023-04-15,Néctar de durazno 1 L,juice-box,0,18,33.37,0,0,7.0,9.0
2023-04-16,Néctar de durazno 1 L,juice-box,0,20,31.04,0,0,7.0,9.0
2023-04-17,Néctar de durazno 1 L,juice-box,0,9,31.71,0,0,7.0,9.0
2023-04-18,Néctar de durazno 1 L,juice-box,0,13,34.28,0,0,7.0,9.0
2023-04-19,Néctar de durazno 1 L,juice-box,0,10,32.38,0,0,7.0,9.0
2023-04-20,Néctar de durazno 1 L,juice-box,0,13,31.42,0,0,7.0,9.0
2023-04-21,Néctar de durazno 1 L,juice-box,0,20,31.88,0,0,7.0,9.0
2023-04-22,Néctar de durazno 1 L,juice-box,0,16,32.09,0,0,7.0,9.0
2023-04-23,Néctar de durazno 1 L,juice-box,0,20,32.01,0,0,7.0,9.0
2023-04-24,Néctar de durazno 1 L,juice-box,0,12,32.97,0,0,7.0,9.0
2023-04-25,Néctar de durazno 1 L,juice-box,0,14,31.01,0,0,7.0,9.0
2023-04-26,Néctar de durazno 1 L,juice-box,0,7,30.92,0,0,7.0,9.0
2023-04-27,Néctar de durazno 1 L,juice-box,0,8,32.7,0,0,7.0,9.0
2023-04-28,Néctar de durazno 1 L,juice-box,0,8,32.99,0,0,7.0,9.0
2023-04-29,Néctar de durazno 1 L,juice-box,0,12,26.58,1,0,7.0,9.0
2023-04-30,Néctar de durazno 1 L,juice-box,0,14,33.34,0,0,7.0,9.0
2023-05-01,Néctar de durazno 1 L,juice-box,0,8,34.22,0,0,7.0,9.0
2023-05-02,Néctar de durazno 1 L,juice-box,0,8,30.13,0,0,7.0,9.0
2023-05-03,Néctar de durazno 1 L,juice-box,0,11,24.2,1,0,7.0,9.0
2023-05-04,Néctar de durazno 1 L,juice-box,0,12,30.96,0,0,7.0,9.0
2023-05-05,Néctar de durazno 1 L,juice-box,0,17,31.86,0,0,7.0,9.0
2023-05-06,Néctar de durazno 1 L,juice-box,0,13,29.2,0,0,7.0,9.0
2023-05-07,Néctar de durazno 1 L,juice-box,0,21,29.79,0,0,7.0,9.0
2023-05-08,Néctar de durazno 1 L,juice-box,0,9,30.74,0,0,7.0,9.0
2023-05-09,Néctar de durazno 1 L,juice-box,0,11,32.21,0,0,7.0,9.0
2023-05-10,Néctar de durazno 1 L,juice-box,0,5,31.26,0,0,7.0,9.0
2023-05-11,Néctar de durazno 1 L,juice-box,0,11,32.11,0,0,7.0,9.0
2023-05-12,Néctar de durazno 1 L,juice-box,0,15,26.36,1,0,7.0,9.0
2023-05-13,Néctar de durazno 1 L,juice-box,0,13,31.99,0,0,7.0,9.0
2023-05-14,Néctar de durazno 1 L,juice-box,0,15,32.26,0,0,7.0,9.0
2023-05-15,Néctar de durazno 1 L,juice-box,0,6,32.57,0,0,7.0,9.0
2023-05-16,Néctar de durazno 1 L,juice-box,0,9,30.17,0,0,7.0,9.0
2023-05-17,Néctar de durazno 1 L,juice-box,0,9,32.87,0,0,7.0,9.0
2023-05-18,Néctar de durazno 1 L,juice-box,0,8,29.81,0,0,7.0,9.0
2023-05-19,Néctar de durazno 1 L,juice-box,0,12,34.03,0,0,7.0,9.0
2023-05-20,Néctar de durazno 1 L,juice-box,0,12,32.13,0,0,7.0,9.0
2023-05-21,Néctar de durazno 1 L,juice-box,0,16,30.36,0,0,7.0,9.0
2023-05-22,Néctar de durazno 1 L,juice-box,0,10,29.99,0,0,7.0,9.0
2023-05-23,Néctar de durazno 1 L,juice-box,0,12,31.67,0,0,7.0,9.0
2023-05-24,Néctar de durazno 1 L,juice-box,0,4,28.79,0,0,7.0,9.0
2023-05-25,Néctar de durazno 1 L,juice-box,0,7,32.03,0,0,7.0,9.0
2023-05-26,Néctar de durazno 1 L,juice-box,0,11,32.56,0,0,7.0,9.0
2023-05-27,Néctar de durazno 1 L,juice-box,0,22,31.2,0,0,7.0,9.0
2023-05-28,Néctar de durazno 1 L,juice-box,0,13,33.2,0,0,7.0,9.0
2023-05-29,Néctar de durazno 1 L,juice-box,0,6,31.5,0,0,7.0,9.0
2023-05-30,Néctar de durazno 1 L,juice-box,0,6,32.26,0,0,7.0,9.0
2023-05-31,Néctar de durazno 1 L,juice-box,0,11,31.11,0,0,7.0,9.0
2023-06-01,Néctar de durazno 1 L,juice-box,0,14,35.68,0,0,7.0,9.0
2023-06-02,Néctar de durazno 1 L,juice-box,0,8,33.3,0,0,7.0,9.0
2023-06-03,Néctar de durazno 1 L,juice-box,0,16,31.41,0,0,7.0,9.0
2023-06-04,Néctar de durazno 1 L,juice-box,0,15,30.84,0,0,7.0,9.0
2023-06-05,Néctar de durazno 1 L,juice-box,0,8,32.48,0,0,7.0,9.0
2023-06-06,Néctar de durazno 1 L,juice-box,0,9,36.44,0,0,7.0,9.0
2023-06-07,Néctar de durazno 1 L,juice-box,0,9,32.91,0,0,7.0,9.0
2023-06-08,Néctar de durazno 1 L,juice-box,0,9,28.97,0,0,7.0,9.0
2023-06-09,Néctar de durazno 1 L,juice-box,0,8,35.16,0,0,7.0,9.0
2023-06-10,Néctar de durazno 1 L,juice-box,0,12,30.35,0,0,7.0,9.0
2023-06-11,Néctar de durazno 1 L,juice-box,0,13,31.66,0,0,7.0,9.0
2023-06-12,Néctar de durazno 1 L,juice-box,0,10,31.25,0,0,7.0,9.0
2023-06-13,Néctar de durazno 1 L,juice-box,0,14,32.18,0,0,7.0,9.0
2023-06-14,Néctar de durazno 1 L,juice-box,0,10,31.46,0,0,7.0,9.0
2023-06-15,Néctar de durazno 1 L,juice-box,0,13,33.45,0,0,7.0,9.0
2023-06-16,Néctar de durazno 1 L,juice-box,0,4,33.81,0,0,7.0,9.0
2023-06-17,Néctar de durazno 1 L,juice-box,0,18,28.14,0,0,7.0,9.0
2023-06-18,Néctar de durazno 1 L,juice-box,0,12,32.34,0,0,7.0,9.0
2023-06-19,Néctar de durazno 1 L,juice-box,0,7,31.6,0,0,7.0,9.0
2023-06-20,Néctar de durazno 1 L,juice-box,0,4,32.15,0,0,7.0,9.0
2023-06-21,Néctar de durazno 1 L,juice-box,0,11,33.49,0,0,7.0,9.0
2023-06-22,Néctar de durazno 1 L,juice-box,0,7,33.86,0,0,7.0,9.0
2023-06-23,Néctar de durazno 1 L,juice-box,0,15,36.05,0,0,7.0,9.0
2023-06-24,Néctar de durazno 1 L,juice-box,0,9,31.16,0,0,7.0,9.0
2023-06-25,Néctar de durazno 1 L,juice-box,0,11,32.53,0,0,7.0,9.0
2023-06-26,Néctar de durazno 1 L,juice-box,0,9,31.48,0,0,7.0,9.0
2023-06-27,Néctar de durazno 1 L,juice-box,0,7,28.4,0,0,7.0,9.0
2023-06-28,Néctar de durazno 1 L,juice-box,0,5,31.16,0,0,7.0,9.0
2023-06-29,Néctar de durazno 1 L,juice-box,0,13,34.31,0,0,7.0,9.0
2023-06-30,Néctar de durazno 1 L,juice-box,0,11,33.24,0,0,7.0,9.0
2023-07-01,Néctar de durazno 1 L,juice-box,0,23,34.34,0,1,7.0,9.0
2023-07-02,Néctar de durazno 1 L,juice-box,0,26,31.88,0,1,7.0,9.0
2023-07-03,Néctar de durazno 1 L,juice-box,0,18,32.18,0,1,7.0,9.0
2023-07-04,Néctar de durazno 1 L,juice-box,0,14,34.45,0,1,7.0,9.0
2023-07-05,Néctar de durazno 1 L,juice-box,0,17,35.99,0,1,7.0,9.0
2023-07-06,Néctar de durazno 1 L,juice-box,0,16,30.53,0,1,7.0,9.0
2023-07-07,Néctar de durazno 1 L,juice-box,0,16,31.76,0,1,7.0,9.0
2023-07-08,Néctar de durazno 1 L,juice-box,0,34,32.75,0,1,7.0,9.0
2023-07-09,Néctar de durazno 1 L,juice-box,0,27,31.51,0,1,7.0,9.0
2023-07-10,Néctar de durazno 1 L,juice-box,0,15,33.04,0,1,7.0,9.0
2023-07-11,Néctar de durazno 1 L,juice-box,0,17,33.74,0,1,7.0,9.0
2023-07-12,Néctar de durazno 1 L,juice-box,0,14,30.53,0,1,7.0,9.0
2023-07-13,Néctar de durazno 1 L,juice-box,0,10,30.91,0,1,7.0,9.0
2023-07-14,Néctar de durazno 1 L,juice-box,0,25,32.39,0,1,7.0,9.0
2023-07-15,Néctar de durazno 1 L,juice-box,0,28,30.56,0,1,7.0,9.0
2023-07-16,Néctar de durazno 1 L,juice-box,0,21,28.16,0,1,7.0,9.0
2023-07-17,Néctar de durazno 1 L,juice-box,0,8,29.22,0,1,7.0,9.0
2023-07-18,Néctar de durazno 1 L,juice-box,0,20,30.75,0,1,7.0,9.0
2023-07-19,Néctar de durazno 1 L,juice-box,0,17,28.97,0,1,7.0,9.0
2023-07-20,Néctar de durazno 1 L,juice-box,0,18,32.11,0,1,7.0,9.0
2023-07-21,Néctar de durazno 1 L,juice-box,0,21,31.92,0,1,7.0,9.0
2023-07-22,Néctar de durazno 1 L,juice-box,0,19,30.32,0,1,7.0,9.0
2023-07-23,Néctar de durazno 1 L,juice-box,0,29,30.37,0,1,7.0,9.0
2023-07-24,Néctar de durazno 1 L,juice-box,0,19,30.39,0,1,7.0,9.0
2023-07-25,Néctar de durazno 1 L,juice-box,0,20,31.34,0,1,7.0,9.0
2023-07-26,Néctar de durazno 1 L,juice-box,0,15,32.81,0,1,7.0,9.0
2023-07-27,Néctar de durazno 1 L,juice-box,0,20,33.53,0,1,7.0,9.0
2023-07-28,Néctar de durazno 1 L,juice-box,0,16,29.93,0,1,7.0,9.0
2023-07-29,Néctar de durazno 1 L,juice-box,0,20,30.82,0,1,7.0,9.0
2023-07-30,Néctar de durazno 1 L,juice-box,0,19,33.0,0,1,7.0,9.0
2023-07-31,Néctar de durazno 1 L,juice-box,0,20,32.47,0,1,7.0,9.0
2023-08-01,Néctar de durazno 1 L,juice-box,0,20,28.7,0,1,7.0,9.0
2023-08-02,Néctar de durazno 1 L,juice-box,0,20,34.85,0,1,7.0,9.0
2023-08-03,Néctar de durazno 1 L,juice-box,0,24,31.78,0,1,7.0,9.0
2023-08-04,Néctar de durazno 1 L,juice-box,0,23,34.14,0,1,7.0,9.0
2023-08-05,Néctar de durazno 1 L,juice-box,0,27,33.25,0,1,7.0,9.0
2023-08-06,Néctar de durazno 1 L,juice-box,0,22,33.69,0,1,7.0,9.0
2023-08-07,Néctar de durazno 1 L,juice-box,0,12,32.83,0,1,7.0,9.0
2023-08-08,Néctar de durazno 1 L,juice-box,0,16,33.89,0,1,7.0,9.0
2023-08-09,Néctar de durazno 1 L,juice-box,0,21,33.39,0,1,7.0,9.0
2023-08-10,Néctar de durazno 1 L,juice-box,0,9,32.29,0,1,7.0,9.0
2023-08-11,Néctar de durazno 1 L,juice-box,0,24,31.6,0,1,7.0,9.0
2023-08-12,Néctar de durazno 1 L,juice-box,0,20,31.6,0,1,7.0,9.0
2023-08-13,Néctar de durazno 1 L,juice-box,0,16,31.83,0,1,7.0,9.0
2023-08-14,Néctar de durazno 1 L,juice-box,0,12,33.78,0,1,7.0,9.0
2023-08-15,Néctar de durazno 1 L,juice-box,0,18,30.55,0,1,7.0,9.0
2023-08-16,Néctar de durazno 1 L,juice-box,0,11,32.95,0,1,7.0,9.0
2023-08-17,Néctar de durazno 1 L,juice-box,0,18,33.2,0,1,7.0,9.0
2023-08-18,Néctar de durazno 1 L,juice-box,0,25,32.74,0,1,7.0,9.0
2023-08-19,Néctar de durazno 1 L,juice-box,0,27,31.34,0,1,7.0,9.0
2023-08-20,Néctar de durazno 1 L,juice-box,0,20,34.32,0,1,7.0,9.0
2023-08-21,Néctar de durazno 1 L,juice-box,0,15,32.65,0,1,7.0,9.0
2023-08-22,Néctar de durazno 1 L,juice-box,0,13,32.97,0,1,7.0,9.0
2023-08-23,Néctar de durazno 1 L,juice-box,0,24,32.55,0,1,7.0,9.0
2023-08-24,Néctar de durazno 1 L,juice-box,0,19,34.14,0,1,7.0,9.0
2023-08-25,Néctar de durazno 1 L,juice-box,0,26,32.49,0,1,7.0,9.0
2023-08-26,Néctar de durazno 1 L,juice-box,0,23,34.2,0,1,7.0,9.0
2023-08-27,Néctar de durazno 1 L,juice-box,0,27,35.39,0,1,7.0,9.0
2023-08-28,Néctar de durazno 1 L,juice-box,0,18,30.63,0,1,7.0,9.0
2023-08-29,Néctar de durazno 1 L,juice-box,0,15,33.6,0,1,7.0,9.0
2023-08-30,Néctar de durazno 1 L,juice-box,0,23,32.27,0,1,7.0,9.0
2023-08-31,Néctar de durazno 1 L,juice-box,0,19,31.63,0,1,7.0,9.0
2023-09-01,Néctar de durazno 1 L,juice-box,0,16,33.26,0,1,7.0,9.0
2023-09-02,Néctar de durazno 1 L,juice-box,0,17,30.86,0,1,7.0,9.0
2023-09-03,Néctar de durazno 1 L,juice-box,0,16,34.59,0,1,7.0,9.0
2023-09-04,Néctar de durazno 1 L,juice-box,0,23,25.9,1,1,7.0,9.0
2023-09-05,Néctar de durazno 1 L,juice-box,0,13,31.8,0,1,7.0,9.0
2023-09-06,Néctar de durazno 1 L,juice-box,0,14,31.69,0,1,7.0,9.0
2023-09-07,Néctar de durazno 1 L,juice-box,0,9,35.77,0,1,7.0,9.0
2023-09-08,Néctar de durazno 1 L,juice-box,0,12,34.0,0,1,7.0,9.0
2023-09-09,Néctar de durazno 1 L,juice-box,0,18,30.33,0,1,7.0,9.0
2023-09-10,Néctar de durazno 1 L,juice-box,0,12,31.27,0,1,7.0,9.0
2023-09-11,Néctar de durazno 1 L,juice-box,0,5,31.2,0,1,7.0,9.0
2023-09-12,Néctar de durazno 1 L,juice-box,0,7,34.44,0,1,7.0,9.0
2023-09-13,Néctar de durazno 1 L,juice-box,0,8,33.53,0,1,7.0,9.0
2023-09-14,Néctar de durazno 1 L,juice-box,0,14,26.43,1,1,7.0,9.0
2023-09-15,Néctar de durazno 1 L,juice-box,0,46,31.84,0,1,7.0,9.0
2023-09-16,Néctar de durazno 1 L,juice-box,0,23,32.73,0,1,7.0,9.0
2023-09-17,Néctar de durazno 1 L,juice-box,0,10,33.28,0,1,7.0,9.0
2023-09-18,Néctar de durazno 1 L,juice-box,0,12,32.2,0,1,7.0,9.0
2023-09-19,Néctar de durazno 1 L,juice-box,0,6,34.0,0,1,7.0,9.0
2023-09-20,Néctar de durazno 1 L,juice-box,0,14,31.35,0,1,7.0,9.0
2023-09-21,Néctar de durazno 1 L,juice-box,0,12,29.92,0,1,7.0,9.0
2023-09-22,Néctar de durazno 1 L,juice-box,0,16,31.3,0,1,7.0,9.0
2023-09-23,Néctar de durazno 1 L,juice-box,0,18,32.98,0,1,7.0,9.0
2023-09-24,Néctar de durazno 1 L,juice-box,0,13,33.8,0,1,7.0,9.0
2023-09-25,Néctar de durazno 1 L,juice-box,0,5,29.36,0,1,7.0,9.0
2023-09-26,Néctar de durazno 1 L,juice-box,0,12,32.96,0,1,7.0,9.0
2023-09-27,Néctar de durazno 1 L,juice-box,0,14,30.83,0,1,7.0,9.0
2023-09-28,Néctar de durazno 1 L,juice-box,0,16,31.08,0,1,7.0,9.0
2023-09-29,Néctar de durazno 1 L,juice-box,0,18,33.26,0,1,7.0,9.0
2023-09-30,Néctar de durazno 1 L,juice-box,0,22,31.55,0,1,7.0,9.0
2023-10-01,Néctar de durazno 1 L,juice-box,0,7,32.74,0,0,7.0,9.0
2023-10-02,Néctar de durazno 1 L,juice-box,0,4,31.23,0,0,7.0,9.0
2023-10-03,Néctar de durazno 1 L,juice-box,0,9,31.53,0,0,7.0,9.0
2023-10-04,Néctar de durazno 1 L,juice-box,0,6,29.75,0,0,7.0,9.0
