fecha,product_name,category_off,ventas,precio
2022-12-01,Pera,fruits-vegetables,14,34.59
2022-12-01,Huevo orgánico 18 pzas,eggs,7,34.5
2022-12-01,Guayaba,fruits-vegetables,32,28.82
2022-12-01,Atún en aceite 140 g,canned-fish,2,25.94
2022-12-01,Pan de caja blanco 680 g,bread-packaged,15,56.5
2022-12-01,Helado vainilla 1 L,ice-cream,10,58.35
2022-12-01,Aguacate Hass,avocado,24,44.36
2022-12-01,Totopos 200 g,chips,2,19.8
2022-12-01,Frijol pinto 1 kg,beans-dry,1,17.05
2022-12-01,Salsa roja 210 g,salsa-jarred,1,10.89
2022-12-01,Papaya,fruits-vegetables,137,33.79
2022-12-01,Aceite vegetal 1 L,oil-vegetable,0,28.42
2022-12-01,Frijoles refritos 430 g,canned-beans,1,49.07
2022-12-01,Frijol negro 1 kg,beans-dry,7,44.26
2022-12-01,Calabacita,fruits-vegetables,44,19.4
2022-12-01,Refresco cola 600 ml,soft-drinks,3,34.83
2022-12-01,Sal fina 750 g,salt,5,22.31
2022-12-01,Plato unicel con divisiones 15 pzas,disposable-plates,9,37.35
2022-12-01,Azúcar estándar 2 kg,sugar-white,5,31.1
2022-12-01,Queso cheddar 200 g,cheese-hard,10,77.1
2022-12-01,Azúcar estándar 2 kg,sugar-white,4,21.11
2022-12-01,Col (repollo),fruits-vegetables,14,18.58
2022-12-01,Cebolla,fruits-vegetables,180,21.02
2022-12-01,Muslo de pollo 1 kg,chicken-fresh,16,25.25
2022-12-01,Jamón enlatado 200 g,canned-meat,5,27.1
2022-12-01,Sardinas en salsa 155 g,canned-fish,0,33.5
2022-12-01,Encendedor desechable,lighter,7,42.56
2022-12-01,Puré de tomate 210 g,canned-tomato,8,49.21
2022-12-01,Fresa,fruits-vegetables,22,26.94
2022-12-01,Huevo blanco 12 pzas,eggs,4,72.88
2022-12-01,Pan de caja blanco 680 g,bread-packaged,8,65.94
2022-12-01,Detergente líquido 1 L,household-detergent,2,53.84
2022-12-01,Refresco limón 600 ml,soft-drinks,0,31.15
2022-12-01,Tamarindo,fruits-vegetables,12,33.99
2022-12-01,Aguacate criollo,avocado,18,38.76
2022-12-01,Tortillas de maíz 500 g,tortillas-corn,14,37.53
2022-12-01,Frijoles enteros 560 g,canned-beans,12,62.58
2022-12-01,Huevo orgánico 18 pzas,eggs,6,44.6
2022-12-01,Helado vainilla 1 L,ice-cream,17,27.13
2022-12-01,Cereal de avena 450 g,cereal-box,6,49.14
2022-12-01,Queso cheddar 200 g,cheese-hard,12,49.83
2022-12-01,Café molido 250 g,coffee-ground,4,15.96
2022-12-01,Arroz blanco 500 g,rice-white-dry,2,24.8
2022-12-01,Espinaca,fruits-vegetables,26,24.6
2022-12-01,Galletas Marías 170 g,cookies,6,46.7
2022-12-01,Pasta fusilli 500 g,pasta-dry,5,23.98
2022-12-01,Elote (maíz tierno),fruits-vegetables,5,30.33
2022-12-01,Vodka Smirnoff 750 ml,vodka,1,52.31
2022-12-01,Jitomate saladet fresco,fresh-tomato,14,34.79
2022-12-01,Shampoo restauración 400 ml,shampoo,6,22.78
2022-12-01,Mamey,fruits-vegetables,6,25.52
2022-12-01,Cereal de avena 450 g,cereal-box,7,52.42
2022-12-01,Frijoles refritos 430 g,canned-beans,7,78.34
2022-12-01,Whisky Black & White 700 ml,whisky,3,54.61
2022-12-01,Verduras mixtas congeladas 1 kg,frozen-vegetables,22,72.34
2022-12-01,Aguacate Hass,avocado,20,60.96
2022-12-01,Granada roja,fruits-vegetables,15,26.54
2022-12-01,Arroz blanco 500 g,rice-white-dry,5,53.46
2022-12-01,Sal yodada 1 kg,salt,5,43.2
2022-12-01,Zapote negro,fruits-vegetables,37,33.44
2022-12-01,Jitomate bola fresco,fresh-tomato,11,43.24
2022-12-01,Ron Bacardí Blanco 750 ml,rum,0,22.59
2022-12-01,Tomate verde (tomatillo),fruits-vegetables,232,21.25
2022-12-01,Cerveza Corona Extra 355 ml,beer,9,11.79
2022-12-01,Galletas Marías 170 g,cookies,2,46.23
2022-12-01,Toronja (pomelo),fruits-vegetables,37,19.83
2022-12-01,Queso cottage 200 g,cheese-fresh,9,74.46
2022-12-01,Melón,fruits-vegetables,40,17.73
2022-12-01,Queso panela 400 g,cheese-fresh,16,66.03
2022-12-01,Helado vainilla 1 L,ice-cream,20,57.99
2022-12-01,Detergente líquido 1 L,household-detergent,1,30.01
2022-12-01,Pechuga de pollo fresca 1 kg,chicken-fresh,2,25.72
2022-12-01,Sal fina 750 g,salt,0,14.09
2022-12-01,Helado vainilla 1 L,ice-cream,10,73.84
2022-12-01,Contenedor térmico unicel con tapa (Hamburguesero) 50 pzas,disposable-containers,0,57.99
2022-12-01,Queso fresco 250 g,cheese-fresh,5,52.8
2022-12-01,Tortillas de maíz 1 kg,tortillas-corn,9,25.89
2022-12-01,Leche Evaporada Carnation 360 g,canned-milk,0,19.81
2022-12-01,Galletas Marías 170 g,cookies,8,51.16
2022-12-01,Jamón enlatado 200 g,canned-meat,5,15.44
2022-12-01,Brandy Presidente 940 ml,brandy,3,60.28
2022-12-01,Refresco limón 600 ml,soft-drinks,1,24.53
2022-12-01,Queso panela 400 g,cheese-fresh,12,28.53
2022-12-01,Frijol pinto 1 kg,beans-dry,4,44.73
2022-12-01,Sardinas en salsa 155 g,canned-fish,3,34.87
2022-12-01,Salsa roja 210 g,salsa-jarred,4,41.89
2022-12-02,Tapa para vaso unicel 1 L 50 pzas,disposable-lids,1,18.34
2022-12-02,Brócoli congelado 500 g,frozen-vegetables,3,31.25
2022-12-02,Arroz blanco 500 g,rice-white-dry,11,53.02
2022-12-02,Azúcar estándar 2 kg,sugar-white,5,28.21
2022-12-02,Agua purificada 1.5 L,bottled-water,0,37.7
2022-12-02,Cereal de maíz 500 g,cereal-box,14,13.05
2022-12-02,Pasta fusilli 500 g,pasta-dry,8,23.48
2022-12-02,Brandy Presidente 940 ml,brandy,1,50.03
2022-12-02,Frijoles enteros 560 g,canned-beans,9,26.17
2022-12-02,Huevo orgánico 18 pzas,eggs,13,57.93
2022-12-02,Sardinas en salsa 155 g,canned-fish,2,41.33
2022-12-02,Papas fritas clásicas 170 g,chips,1,11.42
2022-12-02,Tuna,fruits-vegetables,17,15.08
2022-12-02,Muslo de pollo 1 kg,chicken-fresh,22,29.21
2022-12-02,Queso gouda 300 g,cheese-hard,20,47.39
2022-12-02,Atún en agua 140 g,canned-fish,1,34.91
2022-12-02,Refresco limón 600 ml,soft-drinks,3,16.78
2022-12-02,Tenedores de plástico blanco 50 pzas,disposable-cutlery,3,54.0
2022-12-02,Jitomate saladet fresco,fresh-tomato,21,26.2
2022-12-02,Pan de caja blanco 680 g,bread-packaged,23,73.67
2022-12-02,Totopos 200 g,chips,0,31.48
2022-12-02,Refresco limón 600 ml,soft-drinks,1,33.28
2022-12-02,Salsa roja 210 g,salsa-jarred,2,11.18
2022-12-02,Frijoles enteros 560 g,canned-beans,12,84.19
2022-12-02,Chile verde (jalapeño/serrano),fruits-vegetables,3,27.16
2022-12-02,Agua purificada 1.5 L,bottled-water,1,18.08
2022-12-02,Queso cottage 200 g,cheese-fresh,12,73.26
2022-12-02,Café molido 250 g,coffee-ground,2,57.94
2022-12-02,Helado vainilla 1 L,ice-cream,6,41.61
2022-12-02,Cebolla,fruits-vegetables,148,21.02
2022-12-02,Tortillas de maíz 1 kg,tortillas-corn,9,22.96
2022-12-02,Jitomate saladet fresco,fresh-tomato,15,71.14
2022-12-02,Queso cheddar 200 g,cheese-hard,17,47.96
2022-12-02,Refresco cola 600 ml,soft-drinks,2,46.4
2022-12-02,Diezmillo de res 1 kg,beef-fresh,13,62.99
2022-12-02,Huevo blanco 12 pzas,eggs,14,68.33
2022-12-02,Aceite vegetal 1 L,oil-vegetable,5,39.74
2022-12-02,Lima,fruits-vegetables,47,29.36
2022-12-02,Espinaca,fruits-vegetables,28,24.6
2022-12-02,Vodka Smirnoff 750 ml,vodka,0,49.87
2022-12-02,Pañales etapa 4 40 pzas,baby-products,4,49.55
2022-12-02,Frijol negro 1 kg,beans-dry,4,14.42
2022-12-02,Frijoles refritos 430 g,canned-beans,4,70.42
2022-12-02,Granada roja,fruits-vegetables,13,26.54
2022-12-02,Mango,fruits-vegetables,21,16.2
2022-12-02,Jamón enlatado 200 g,canned-meat,5,21.08
2022-12-02,Galletas Marías 170 g,cookies,1,63.04
2022-12-02,Totopos 200 g,chips,7,18.74
2022-12-02,Café molido 250 g,coffee-ground,4,16.11
2022-12-02,Carne deshebrada enlatada 300 g,canned-meat,2,17.69
2022-12-02,Queso cheddar 200 g,cheese-hard,16,62.81
2022-12-02,Helado vainilla 1 L,ice-cream,11,78.63
2022-12-02,Refresco cola 600 ml,soft-drinks,3,23.96
2022-12-02,Toallas femeninas flujo abundante 10 pzas,personal-care,2,56.75
2022-12-02,Azúcar blanca 1 kg,sugar-white,4,57.46
2022-12-02,Atún en aceite 140 g,canned-fish,6,46.49
2022-12-02,Frijol negro 1 kg,beans-dry,6,42.89
2022-12-02,Plato unicel plano grande No. 9 25 pzas,disposable-plates,7,19.72
2022-12-02,Salsa roja 210 g,salsa-jarred,5,44.95
2022-12-02,Nopal,fruits-vegetables,15,15.08
2022-12-02,Té verde 25 sobres,tea-bags,4,33.85
2022-12-02,Plato unicel con divisiones 15 pzas,disposable-plates,9,41.65
2022-12-02,Acelga,fruits-vegetables,43,33.94
2022-12-02,Bistec de res 1 kg,beef-fresh,7,51.87
2022-12-02,Berro,fruits-vegetables,14,30.21
2022-12-02,Té negro 20 sobres,tea-bags,6,48.13
2022-12-02,Papaya,fruits-vegetables,182,33.79
2022-12-02,Sal yodada 1 kg,salt,5,19.77
2022-12-02,Verduras mixtas congeladas 1 kg,frozen-vegetables,6,44.73
2022-12-02,Chuleta de cerdo 1 kg,pork-fresh,23,72.32
2022-12-02,Galletas de chocolate 110 g,cookies,6,24.76
2022-12-02,Queso gouda 300 g,cheese-hard,4,59.19
2022-12-02,Tortillas de harina 1 kg,tortillas-flour,4,26.97
2022-12-02,Shampoo restauración 400 ml,shampoo,12,31.12
2022-12-02,Jitomate bola fresco,fresh-tomato,3,73.93
2022-12-02,Té negro 20 sobres,tea-bags,3,24.13
2022-12-02,Toronja (pomelo),fruits-vegetables,35,19.83
2022-12-02,Helado vainilla 1 L,ice-cream,16,48.08
2022-12-02,Café molido 500 g,coffee-ground,0,43.79
2022-12-02,Arroz blanco 500 g,rice-white-dry,5,25.21
2022-12-02,Aguacate Hass,avocado,18,39.18
2022-12-02,Pasta fusilli 500 g,pasta-dry,4,31.31
2022-12-02,Leche semidescremada UHT 1L,milk-uht,7,26.51
2022-12-02,Guayaba,fruits-vegetables,21,28.82
2022-12-02,Plato unicel pastelero No. 6 20 pzas,disposable-plates,2,14.34
2022-12-02,Ciruela,fruits-vegetables,23,30.48
2022-12-02,Refresco cola 600 ml,soft-drinks,1,15.69
2022-12-02,Chuleta de cerdo 1 kg,pork-fresh,10,49.75
2022-12-02,Queso fresco 250 g,cheese-fresh,32,60.68
2022-12-02,Leche descremada UHT 1L,milk-uht,1,56.81
2022-12-02,Jitomate (tomate rojo),fruits-vegetables,212,21.34
2022-12-02,Chayote,fruits-vegetables,24,31.92
2022-12-02,Aguacate criollo,avocado,12,69.05
2022-12-02,Bistec de res 1 kg,beef-fresh,14,55.05
2022-12-02,Piña,fruits-vegetables,42,24.98
2022-12-02,Sal yodada 1 kg,salt,2,45.62
2022-12-02,Aceite vegetal 1 L,oil-vegetable,4,28.45
2022-12-02,Pasta fusilli 500 g,pasta-dry,4,42.19
2022-12-02,Frijoles refritos 430 g,canned-beans,13,70.89
2022-12-02,Huevo blanco 12 pzas,eggs,1,74.63
2022-12-02,Queso panela 400 g,cheese-fresh,11,45.2
2022-12-02,Melón,fruits-vegetables,11,17.73
2022-12-02,Salsa verde 210 g,salsa-jarred,4,40.88
2022-12-02,Yoghurt natural 125 g,yogurt,6,34.59
2022-12-02,Cereal de avena 450 g,cereal-box,0,39.01
2022-12-02,Galletas de chocolate 110 g,cookies,5,34.66
2022-12-02,Aguacate Hass,avocado,30,56.37
2022-12-02,Totopos 200 g,chips,2,35.56
2022-12-02,Sardinas en salsa 155 g,canned-fish,14,41.69
2022-12-02,Zanahoria,fruits-vegetables,47,16.05
2022-12-02,Café molido 500 g,coffee-ground,1,27.19
2022-12-02,Verduras mixtas congeladas 1 kg,frozen-vegetables,16,68.43
2022-12-02,Elote (maíz tierno),fruits-vegetables,13,30.33
2022-12-02,Café molido 250 g,coffee-ground,4,14.97
2022-12-02,Refresco Coca-Cola 2.5 L,soda,1,12.36
2022-12-02,Tortillas de harina 1 kg,tortillas-flour,9,88.74
2022-12-02,Sal fina 750 g,salt,5,19.07
2022-12-02,Agua purificada 1.5 L,bottled-water,4,45.21
2022-12-02,Helado vainilla 1 L,ice-cream,16,25.87
2022-12-02,Cerveza Corona Extra 355 ml,beer,8,12.12
2022-12-02,Refresco limón 600 ml,soft-drinks,10,38.16
2022-12-02,Queso panela 400 g,cheese-fresh,14,31.02
2022-12-02,Galletas Marías 170 g,cookies,6,50.95
2022-12-02,Tequila José Cuervo Especial 990 ml,tequila,0,52.87
2022-12-02,Frijoles refritos 430 g,canned-beans,10,20.95
2022-12-02,Atún en agua 140 g,canned-fish,8,40.76
2022-12-02,Aceite vegetal 1 L,oil-vegetable,10,52.73
2022-12-02,Azúcar estándar 2 kg,sugar-white,2,14.78
2022-12-02,Detergente líquido 1 L,household-detergent,1,31.8
2022-12-02,Lechuga,fruits-vegetables,33,15.42
2022-12-02,Zapote negro,fruits-vegetables,45,33.44
2022-12-02,Cucharas de plástico pastelero 50 pzas,disposable-cutlery,3,41.21
2022-12-02,Aguacate criollo,avocado,31,39.21
2022-12-02,Tomate triturado 400 g,canned-tomato,2,47.42
2022-12-02,Yoghurt griego 150 g,yogurt,6,46.63
2022-12-02,Manzana,fruits-vegetables,30,33.13
2022-12-02,Fresa,fruits-vegetables,15,26.94
2022-12-02,Té verde 25 sobres,tea-bags,5,16.71
2022-12-02,Helado vainilla 1 L,ice-cream,3,79.6
2022-12-02,Yoghurt natural 125 g,yogurt,5,69.06
2022-12-02,Brócoli congelado 500 g,frozen-vegetables,13,30.55
2022-12-02,Ejote,fruits-vegetables,8,32.55
2022-12-02,Huevo orgánico 18 pzas,eggs,5,30.59
2022-12-02,Helado vainilla 1 L,ice-cream,12,56.66
2022-12-02,Pan multigrano 680 g,bread-packaged,3,33.14
2022-12-02,Queso cheddar 200 g,cheese-hard,20,39.53
2022-12-02,Helado vainilla 1 L,ice-cream,17,50.92
2022-12-02,Plátano,fruits-vegetables,196,29.35
2022-12-02,Leche Condensada La Lechera 387 g,canned-milk,4,36.08
2022-12-02,Pechuga de pollo fresca 1 kg,chicken-fresh,3,23.14
2022-12-02,Higo,fruits-vegetables,15,34.91
2022-12-02,Cereal de avena 450 g,cereal-box,3,52.68
2022-12-02,Atún en aceite 140 g,canned-fish,3,22.69
2022-12-02,Charola unicel para carne 50 pzas,disposable-trays,0,32.19
2022-12-02,Frijol negro 1 kg,beans-dry,2,41.24
2022-12-02,Galletas Marías 170 g,cookies,5,48.71
2022-12-02,Brócoli congelado 500 g,frozen-vegetables,10,70.68
2022-12-02,Queso manchego 200 g,cheese-hard,20,70.62
2022-12-02,Sardinas en salsa 155 g,canned-fish,6,36.52
2022-12-02,Ron Bacardí Blanco 750 ml,rum,0,19.49
2022-12-02,Aceite vegetal 1 L,oil-vegetable,2,35.35
2022-12-02,Verdolaga,fruits-vegetables,15,28.16
2022-12-02,Carne deshebrada enlatada 300 g,canned-meat,3,56.15
2022-12-02,Queso cheddar 200 g,cheese-hard,16,70.93
2022-12-02,Sal fina 750 g,salt,5,35.48
2022-12-02,Sal fina 750 g,salt,4,21.68
2022-12-02,Queso gouda 300 g,cheese-hard,7,79.92
2022-12-02,Jugo de naranja 1 L,juice-box,22,32.66
